bioguide_id,address,latitude,longitude,phone
A000022,"218-14 Northern Boulevard Bayside, New York 11361",40.761155,-73.763649,(718) 423-2154
A000366,"2461 West SR 426, Suite 1041 Oviedo, Florida 32765",28.634434,-81.237019,(407) 977-7601
A000366,"1000 City Center Cicle Port Orange, Florida 32129",29.126222,-81.021771,(386) 756-9798
A000055,"1710 Alabama Avenue, Carl Elliott Building, #247 Jasper, Alabama 35501",33.828427,-87.270469,(205) 221-2310
A000055,"205 4th Avenue, NE, Suite 104 Cullman, Alabama 35055",34.180710,-86.840987,(256) 734-6043
A000055,"600 Broad Street, 107 Federal Building Gadsden, Alabama 35901",34.014459,-86.006541,(256) 546-0201
A000055,"Morgan County Courthouse, PO Box 668 Decatur, Alabama 35602",34.609930,-86.977599,(256) 350-4093
A000069,"300 Ala Moana Boulevard, Room 3-106 Honolulu, Hawaii 96850",21.304233,-157.862977,(808) 522-8970
A000069,"101 Aupuni Street, #213 Hilo, Hawaii 96720",19.718100,-155.077458,(808) 935-1114
A000358,"301 Sovereign Court, Suite 201 St. Louis, Missouri 63011",38.598451,-90.489897,(314) 590-0029
A000358,"820 South Main Street, Suite 206 St. Charles, Missouri 63301",38.775479,-90.484286,(636) 949-6826
A000361,"1412 Center Court, Suite 402 Alexandria, Louisiana 71301",31.279962,-92.476676,(318) 445-0818
A000361,"1900 Stubbs Avenue, Suite B Monroe, Louisiana 71201",32.520737,-92.107542,(318) 322-3500
A000360,"3322 West End Avenue, Suite 120 Nashville, Tennessee 37203",36.140583,-86.817782,(615) 736-5129
A000360,"800 Market Street, Suite 112 Knoxville, Tennessee 37902",35.962198,-83.917778,(865) 545-4253
A000360,"167 North Main Street, Suite 1068 Memphis, Tennessee 38103",35.149780,-90.050969,(901) 544-4224
A000360,"900 Georgia Avenue, Suite 260 Chattanooga, Tennessee 37402",35.045666,-85.308309,(423) 752-5337
A000360,"109 South Highland Street, #B-9 Jackson, Tennessee 38301",35.613631,-88.819413,(731) 423-9344
A000360,"2525 Highway 75, PO Box 1113 Blountville, Tennessee 37617",36.478213,-82.411779,(423) 325-6240
A000362,"2110 McLean Street Aliquippa, Pennsylvania 15001",40.603299,-80.276998,(724) 378-0928
A000362,"Office: 2124 Freeport Road Natrona Heights, Pennsylvania 15065",40.631050,-79.725017,(724) 226-1304
A000367,"110 Michigan Street, Suite 166 Grand Rapids, Michigan 49503",42.970482,-85.666167,(616) 451-8383
A000210,"515 Grove Street, 3rd Floor, Suite 3C Haddon Heights, New Jersey 08035",39.879679,-75.048843,(856) 546-5100
A000210,"63 North Broad Street Woodbury, New Jersey 08096",39.840130,-75.151761,(856) 848-3900
A000365,"5 West North Street, Suite 200 Springfield, Ohio 45504",39.927108,-83.810079,(937) 325-0474
A000365,"207 South Broad Street Lancaster, Ohio 43130",39.712255,-82.602035,(740) 654-5149
A000368,"41 Hooksett Road, Unit 2 Manchester, New Hampshire 03104",43.007807,-71.457014,(603) 622-7979
A000368,"14 Manchester Square, Suite 140 Portsmouth, New Hampshire 03801",43.085390,-70.808512,(603) 436-7161
A000368,"144 Main Street Nashua, New Hampshire 03060",42.761683,-71.465669,(603) 880-3335
B001234,"201 North ""E"" Street, Suite 102 San Bernardino, California 92401",34.103052,-117.294081,(909) 885-2222
B001256,"6043 Hudson Road, Suite 330 Woodbury, Minnesota 55125",44.947686,-92.984531,(651) 731-5400
B001256,"110 2nd Street South, Suite 232 Waite Park, Minnesota 56387",45.549727,-94.215546,(320) 253-5931
B000013,"1900 International Park Drive, #107 Birmingham, Alabama 35243",33.407253,-86.761732,(205) 969-2296
B000013,"703 Second Avenue North, PO Box 502 Clanton, Alabama 35046",32.883705,-86.560842,(205) 280-0704
B001230,"10 East Doty Street, Suite 405 Madison, Wisconsin 53703",43.073352,-89.382002,(608) 258-9800
B001230,"1 South Church Street, Suite 100 Hazleton, Pennsylvania 18702",40.954758,-75.977042,(608) 362-2800
B001269,"1 South Church Street, Suite 100 Hazleton, Pennsylvania 18702",40.954758,-75.977042,(570) 751-0050
